Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.742561,-89.052704,1.6599,-0.007326,-7.3263
13.742567,-89.051964,1.6461,-0.007266,-7.2656
13.742574,-89.051224,1.5541,-0.00686,-6.8595
13.74258,-89.050485,1.5355,-0.006778,-6.7776
13.742586,-89.049745,1.5326,-0.006765,-6.7648
13.742592,-89.049006,1.5724,-0.00694,-6.9403
13.742598,-89.048266,1.471,-0.006493,-6.4929
13.742604,-89.047527,1.4516,-0.006407,-6.4073
13.74261,-89.046787,1.5033,-0.006635,-6.6353
13.742617,-89.046048,1.4642,-0.006463,-6.4627
13.742623,-89.045308,1.4732,-0.006503,-6.5026
13.742629,-89.044569,1.6997,-0.007502,-7.5021
13.742635,-89.043829,1.7337,-0.007652,-7.6521
13.742641,-89.04309,1.4256,-0.006292,-6.2923
13.742647,-89.04235,1.4422,-0.006365,-6.3655
13.742653,-89.041611,1.4724,-0.006499,-6.499
13.742659,-89.040871,1.3974,-0.006168,-6.1679
13.742666,-89.040132,1.2299,-0.005429,-5.4287
13.742672,-89.039392,1.5356,-0.006778,-6.7779
13.742678,-89.038653,1.4475,-0.006389,-6.3889
13.742684,-89.037913,1.4793,-0.00653,-6.5295
13.74269,-89.037174,1.1125,-0.00491,-4.9103
13.742696,-89.036434,1.1169,-0.00493,-4.9297
13.742702,-89.035695,1.1786,-0.005202,-5.2023
13.742708,-89.034955,0.9112,-0.004022,-4.0219
13.742714,-89.034216,0.858,-0.003787,-3.787
13.742721,-89.033476,0.8804,-0.003886,-3.8858
13.742727,-89.032737,0.1833,-0.000809,-0.8092
13.742733,-89.031997,0.853,-0.003765,-3.7648
13.742739,-89.031258,0.5614,-0.002478,-2.4781
13.742745,-89.030518,-0.0563,0.000249,0.2485
13.742751,-89.029779,0.8432,-0.003722,-3.7215
13.742757,-89.029039,0.3167,-0.001398,-1.3981
13.742763,-89.028299,0.3316,-0.001464,-1.4635
13.742769,-89.02756,0.5817,-0.002567,-2.5674
13.742775,-89.02682,0.0703,-0.00031,-0.3105
13.742781,-89.026081,0.3058,-0.00135,-1.3498
13.742788,-89.025341,0.862,-0.003805,-3.8046
13.742794,-89.024602,0.7095,-0.003132,-3.1318
13.7428,-89.023862,0.692,-0.003055,-3.0546
13.742806,-89.023123,0.7441,-0.003284,-3.2843
13.742812,-89.022383,1.4506,-0.006403,-6.4026
13.742818,-89.021644,0.9876,-0.004359,-4.3591
13.742824,-89.020904,-0.2536,0.001119,1.1192
13.74283,-89.020165,0.8724,-0.003851,-3.8507
13.742836,-89.019425,0.7702,-0.003399,-3.3995
13.742842,-89.018686,1.3735,-0.006063,-6.0626
13.742848,-89.017946,0.4259,-0.00188,-1.8799
13.742854,-89.017207,0.5014,-0.002213,-2.2129
13.74286,-89.016467,1.0549,-0.004656,-4.6561
13.742866,-89.015728,0.8596,-0.003794,-3.7941
13.742872,-89.014988,0.3,-0.001324,-1.324
13.742878,-89.014248,0.5276,-0.002329,-2.3287
13.742884,-89.013509,-0.4449,0.001964,1.9635
13.74289,-89.012769,-0.3679,0.001624,1.624
13.742896,-89.01203,0.1764,-0.000779,-0.7788
13.742903,-89.01129,-0.5331,0.002353,2.3528
13.742909,-89.010551,0.2445,-0.001079,-1.0794
13.742915,-89.009811,-0.1045,0.000461,0.4613
13.742921,-89.009072,-0.1165,0.000514,0.5144
13.742927,-89.008332,-0.5249,0.002317,2.3168
13.742933,-89.007593,-0.1069,0.000472,0.4718
13.742939,-89.006853,0.06,-0.000265,-0.2646
13.742945,-89.006114,0.3726,-0.001645,-1.6448
13.742951,-89.005374,-0.0996,0.00044,0.4398
13.742957,-89.004635,-0.0655,0.000289,0.2892
13.742963,-89.003895,-0.2194,0.000968,0.9682
13.740974,-89.154006,1.1613,-0.005126,-5.1259
13.740981,-89.153267,1.9149,-0.008452,-8.4521
13.740987,-89.152527,1.9296,-0.008517,-8.5171
13.740994,-89.151788,1.6608,-0.00733,-7.3303
13.741,-89.151048,1.4994,-0.006618,-6.618
13.741007,-89.150309,1.764,-0.007786,-7.7858
13.741013,-89.14957,1.9219,-0.008483,-8.4827
13.74102,-89.14883,1.3224,-0.005837,-5.8369
13.741026,-89.148091,1.2931,-0.005707,-5.7075
13.741032,-89.147351,1.564,-0.006903,-6.9033
13.741039,-89.146612,1.564,-0.006903,-6.9033
13.741045,-89.145872,0.8698,-0.003839,-3.8392
13.741052,-89.145133,1.0101,-0.004459,-4.4585
13.741058,-89.144393,1.7085,-0.007541,-7.5412
13.741065,-89.143654,2.1631,-0.009548,-9.5477
13.741071,-89.142914,1.026,-0.004529,-4.5287
13.741077,-89.142175,1.1215,-0.00495,-4.9502
13.741084,-89.141435,1.6977,-0.007493,-7.4933
13.74109,-89.140696,1.7878,-0.007891,-7.891
13.741097,-89.139957,1.8869,-0.008328,-8.3283
13.741103,-89.139217,1.9161,-0.008457,-8.4573
13.74111,-89.138478,1.9937,-0.0088,-8.7997
13.741116,-89.137738,1.9877,-0.008773,-8.7735
13.741122,-89.136999,2.2621,-0.009984,-9.9845
13.741129,-89.136259,2.2395,-0.009885,-9.8849
13.741135,-89.13552,2.1516,-0.009497,-9.4966
13.741142,-89.13478,1.8158,-0.008015,-8.0147
13.741148,-89.134041,2.1551,-0.009512,-9.5121
13.741154,-89.133301,1.4923,-0.006587,-6.5869
13.741161,-89.132562,2.4008,-0.010597,-10.5966
13.741167,-89.131822,1.7723,-0.007823,-7.8225
13.741174,-89.131083,2.6493,-0.011694,-11.6936
13.74118,-89.130343,2.2065,-0.009739,-9.7391
13.741186,-89.129604,2.5244,-0.011142,-11.1425
