Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.742382,-89.074149,1.6624,-0.007338,-7.3377
13.742388,-89.07341,1.459,-0.00644,-6.4398
13.742394,-89.07267,1.7368,-0.007666,-7.6659
13.7424,-89.071931,1.9416,-0.00857,-8.57
13.742407,-89.071191,1.7248,-0.007613,-7.613
13.742413,-89.070452,2.0055,-0.008852,-8.852
13.742419,-89.069712,1.6101,-0.007107,-7.1067
13.742425,-89.068973,1.6829,-0.007428,-7.4282
13.742432,-89.068233,1.8457,-0.008147,-8.1467
13.742438,-89.067494,1.9488,-0.008602,-8.6018
13.742444,-89.066754,1.4855,-0.006557,-6.5567
13.74245,-89.066015,1.5122,-0.006675,-6.6746
13.742456,-89.065275,1.5113,-0.00667,-6.6704
13.742463,-89.064536,1.8753,-0.008277,-8.2771
13.742469,-89.063796,1.7547,-0.007745,-7.7451
13.742475,-89.063057,2.0606,-0.009095,-9.0951
13.742481,-89.062317,1.7226,-0.007603,-7.6034
13.742487,-89.061578,1.7134,-0.007563,-7.5626
13.742493,-89.060838,1.5983,-0.007054,-7.0545
13.7425,-89.060099,1.6228,-0.007163,-7.1627
13.742506,-89.059359,1.5755,-0.006954,-6.9539
13.742512,-89.05862,1.5455,-0.006821,-6.8214
13.742518,-89.05788,1.5023,-0.006631,-6.6309
13.742524,-89.057141,1.4604,-0.006446,-6.4459
13.74253,-89.056401,1.426,-0.006294,-6.2941
13.742537,-89.055662,1.3952,-0.006158,-6.158
13.742543,-89.054922,1.3528,-0.005971,-5.9711
13.742549,-89.054183,1.2844,-0.005669,-5.669
13.742555,-89.053443,1.2873,-0.005682,-5.6818
13.742561,-89.052704,1.1845,-0.005228,-5.228
13.742567,-89.051964,1.1707,-0.005167,-5.1673
13.742574,-89.051224,1.0787,-0.004761,-4.7612
13.74258,-89.050485,1.0601,-0.004679,-4.6793
13.742586,-89.049745,1.0572,-0.004666,-4.6665
13.742592,-89.049006,1.097,-0.004842,-4.842
13.742598,-89.048266,0.9956,-0.004395,-4.3946
13.742604,-89.047527,0.9763,-0.004309,-4.309
13.74261,-89.046787,1.0279,-0.004537,-4.537
13.742617,-89.046048,0.9888,-0.004364,-4.3644
13.742623,-89.045308,0.9978,-0.004404,-4.4043
13.742629,-89.044569,1.2243,-0.005404,-5.4038
13.742635,-89.043829,1.2583,-0.005554,-5.5538
13.742641,-89.04309,0.9502,-0.004194,-4.194
13.742647,-89.04235,0.9668,-0.004267,-4.2672
13.742653,-89.041611,0.997,-0.004401,-4.4007
13.742659,-89.040871,0.922,-0.00407,-4.0696
13.742666,-89.040132,0.7545,-0.00333,-3.3304
13.742672,-89.039392,1.0602,-0.00468,-4.6796
13.742678,-89.038653,0.9721,-0.004291,-4.2906
13.742684,-89.037913,1.0039,-0.004431,-4.4312
13.74269,-89.037174,0.6371,-0.002812,-2.812
13.742696,-89.036434,0.6415,-0.002831,-2.8314
13.742702,-89.035695,0.7032,-0.003104,-3.104
13.742708,-89.034955,0.4358,-0.001924,-1.9236
13.742714,-89.034216,0.3826,-0.001689,-1.6887
13.742721,-89.033476,0.405,-0.001787,-1.7875
13.742727,-89.032737,-0.2921,0.001289,1.2891
13.742733,-89.031997,0.3776,-0.001666,-1.6665
13.742739,-89.031258,0.086,-0.00038,-0.3798
13.742745,-89.030518,-0.5317,0.002347,2.3468
13.742751,-89.029779,0.3678,-0.001623,-1.6232
13.742757,-89.029039,-0.1586,0.0007,0.7002
13.742763,-89.028299,-0.1438,0.000635,0.6348
13.742769,-89.02756,0.1063,-0.000469,-0.4691
13.742775,-89.02682,-0.405,0.001788,1.7878
13.742781,-89.026081,-0.1696,0.000749,0.7485
13.742788,-89.025341,0.3866,-0.001706,-1.7063
13.742794,-89.024602,0.2342,-0.001033,-1.0335
13.7428,-89.023862,0.2167,-0.000956,-0.9563
13.742806,-89.023123,0.2687,-0.001186,-1.186
13.742812,-89.022383,0.9752,-0.004304,-4.3043
13.742818,-89.021644,0.5122,-0.002261,-2.2608
13.742824,-89.020904,-0.729,0.003218,3.2175
13.74283,-89.020165,0.397,-0.001752,-1.7524
13.742836,-89.019425,0.2948,-0.001301,-1.3012
13.742842,-89.018686,0.8982,-0.003964,-3.9643
13.742848,-89.017946,-0.0495,0.000218,0.2184
13.742854,-89.017207,0.026,-0.000115,-0.1146
13.74286,-89.016467,0.5795,-0.002558,-2.5578
13.742866,-89.015728,0.3842,-0.001696,-1.6958
13.742872,-89.014988,-0.1754,0.000774,0.7743
13.742878,-89.014248,0.0522,-0.00023,-0.2304
13.742884,-89.013509,-0.9202,0.004062,4.0618
13.74289,-89.012769,-0.8433,0.003722,3.7223
13.742896,-89.01203,-0.2989,0.00132,1.3195
13.742903,-89.01129,-1.0084,0.004451,4.4511
13.742909,-89.010551,-0.2308,0.001019,1.0189
13.742915,-89.009811,-0.5799,0.00256,2.5596
13.742921,-89.009072,-0.5919,0.002613,2.6127
13.742927,-89.008332,-1.0003,0.004415,4.4151
13.742933,-89.007593,-0.5823,0.00257,2.5701
13.742939,-89.006853,-0.4154,0.001834,1.8337
13.742945,-89.006114,-0.1027,0.000454,0.4535
13.742951,-89.005374,-0.575,0.002538,2.5381
13.742957,-89.004635,-0.5409,0.002388,2.3875
13.742963,-89.003895,-0.6947,0.003067,3.0665
13.740974,-89.154006,0.6893,-0.003043,-3.0425
13.740981,-89.153267,1.4429,-0.006369,-6.3687
13.740987,-89.152527,1.4576,-0.006434,-6.4337
13.740994,-89.151788,1.1887,-0.005247,-5.2469
13.741,-89.151048,1.0274,-0.004535,-4.5346
13.741007,-89.150309,1.2919,-0.005702,-5.7024
13.741013,-89.14957,1.4498,-0.006399,-6.3993
13.74102,-89.14883,0.8504,-0.003754,-3.7535
13.741026,-89.148091,0.8211,-0.003624,-3.6241
13.741032,-89.147351,1.092,-0.00482,-4.8199
13.741039,-89.146612,1.092,-0.00482,-4.8199
13.741045,-89.145872,0.3978,-0.001756,-1.7558
13.741052,-89.145133,0.5381,-0.002375,-2.3751
13.741058,-89.144393,1.2365,-0.005458,-5.4578
13.741065,-89.143654,1.6911,-0.007464,-7.4643
13.741071,-89.142914,0.554,-0.002445,-2.4453
13.741077,-89.142175,0.6495,-0.002867,-2.8668
13.741084,-89.141435,1.2257,-0.00541,-5.4099
13.74109,-89.140696,1.3158,-0.005808,-5.8076
13.741097,-89.139957,1.4149,-0.006245,-6.2449
13.741103,-89.139217,1.4441,-0.006374,-6.3739
13.74111,-89.138478,1.5217,-0.006716,-6.7163
13.741116,-89.137738,1.5157,-0.00669,-6.6901
13.741122,-89.136999,1.7901,-0.007901,-7.9011
13.741129,-89.136259,1.7675,-0.007802,-7.8015
13.741135,-89.13552,1.6795,-0.007413,-7.4132
13.741142,-89.13478,1.3438,-0.005931,-5.9313
13.741148,-89.134041,1.6831,-0.007429,-7.4287
13.741154,-89.133301,1.0203,-0.004504,-4.5035
13.741161,-89.132562,1.9288,-0.008513,-8.5132
13.741167,-89.131822,1.3003,-0.005739,-5.7391
13.741174,-89.131083,2.1773,-0.00961,-9.6102
13.74118,-89.130343,1.7345,-0.007656,-7.6557
13.741186,-89.129604,2.0524,-0.009059,-9.0591
13.741193,-89.128865,-0.3314,0.001463,1.4627
13.741199,-89.128125,0.9493,-0.00419,-4.1902
13.741205,-89.127386,1.1875,-0.005242,-5.2415
13.741212,-89.126646,2.2263,-0.009827,-9.8267
13.741218,-89.125907,1.2099,-0.00534,-5.3401
13.741225,-89.125167,1.1858,-0.005234,-5.2338
13.741231,-89.124428,-1.8647,0.008231,8.2306
13.741237,-89.123688,0.8209,-0.003623,-3.6234
13.741244,-89.122949,0.8228,-0.003632,-3.6317
13.74125,-89.122209,-0.2104,0.000929,0.9285
13.741256,-89.12147,1.6659,-0.007353,-7.3529
13.741263,-89.12073,-0.7239,0.003195,3.1953
13.741269,-89.119991,1.6608,-0.00733,-7.3303
13.741275,-89.119251,1.8797,-0.008297,-8.2968
13.741282,-89.118512,4.2516,-0.018766,-18.7657
13.741288,-89.117772,2.0837,-0.009197,-9.1973
13.741295,-89.117033,0.143,-0.000631,-0.6312
13.741301,-89.116294,2.1399,-0.009445,-9.4452
13.741307,-89.115554,3.7361,-0.01649,-16.4905
13.741314,-89.114815,1.1989,-0.005292,-5.2917
13.74132,-89.114075,1.2459,-0.005499,-5.4992
13.741326,-89.113336,1.2183,-0.005377,-5.3774
13.741333,-89.112596,-0.0301,0.000133,0.1327
13.741339,-89.111857,2.4462,-0.010797,-10.7969
13.741345,-89.111117,1.0024,-0.004424,-4.4242
13.741352,-89.110378,2.4019,-0.010601,-10.6014
13.741358,-89.109638,1.9243,-0.008494,-8.4937
13.741364,-89.108899,0.3432,-0.001515,-1.5149
13.741371,-89.108159,1.8602,-0.008211,-8.2106
13.741377,-89.10742,1.2027,-0.005308,-5.3084
13.741383,-89.10668,1.9448,-0.008584,-8.584
13.741389,-89.105941,2.0493,-0.009045,-9.0451
13.741396,-89.105201,1.2034,-0.005312,-5.3117
13.741402,-89.104462,1.7825,-0.007868,-7.8677
13.741408,-89.103722,1.8783,-0.00829,-8.2905
13.741415,-89.102983,2.0708,-0.00914,-9.14
13.741421,-89.102243,3.0743,-0.013569,-13.5693
13.741427,-89.101504,2.975,-0.013131,-13.1313
13.741434,-89.100764,2.1662,-0.009561,-9.5611
13.74144,-89.100025,2.2758,-0.010045,-10.0449
13.741446,-89.099285,2.105,-0.009291,-9.291
13.741453,-89.098546,1.4743,-0.006507,-6.5071
13.741459,-89.097806,0.5373,-0.002371,-2.3714
13.741465,-89.097067,0.9147,-0.004037,-4.0374
13.741471,-89.096328,1.7613,-0.007774,-7.7741
13.741478,-89.095588,2.0434,-0.009019,-9.0191
13.741484,-89.094849,1.1553,-0.005099,-5.0995
13.74149,-89.094109,2.0779,-0.009171,-9.1715
13.741496,-89.09337,2.4477,-0.010804,-10.8038
13.741503,-89.09263,2.6119,-0.011528,-11.5283
13.741509,-89.091891,2.8059,-0.012385,-12.3848
13.741515,-89.091151,2.2564,-0.009959,-9.9595
13.741522,-89.090412,2.0397,-0.009003,-9.0027
13.741528,-89.089672,2.2483,-0.009924,-9.9237
13.741534,-89.088933,1.6496,-0.007281,-7.2811
13.74154,-89.088193,2.1656,-0.009558,-9.5584
13.741547,-89.087454,2.3786,-0.010499,-10.4987
13.741553,-89.086714,2.9842,-0.013172,-13.1716
13.741559,-89.085975,2.1586,-0.009528,-9.5277
13.741565,-89.085235,2.5288,-0.011162,-11.1617
13.741572,-89.084496,2.1133,-0.009328,-9.3279
13.741578,-89.083756,2.345,-0.01035,-10.3503
13.741584,-89.083017,2.4949,-0.011012,-11.0119
13.74159,-89.082277,2.4037,-0.01061,-10.6096
13.741597,-89.081538,2.2825,-0.010075,-10.0746
13.741603,-89.080798,2.053,-0.009062,-9.0617
13.741609,-89.080059,1.3037,-0.005754,-5.7545
13.741615,-89.079319,1.7171,-0.007579,-7.5788
13.741622,-89.07858,2.2978,-0.010142,-10.1419
13.741628,-89.07784,2.1711,-0.009583,-9.5827
13.741634,-89.077101,1.6951,-0.007482,-7.4819
13.74164,-89.076361,1.793,-0.007914,-7.9139
13.741647,-89.075622,1.7539,-0.007741,-7.7412
13.741653,-89.074882,1.6894,-0.007457,-7.4566
13.741659,-89.074143,1.5011,-0.006626,-6.6258
13.741665,-89.073403,1.6471,-0.00727,-7.2698
13.741671,-89.072664,1.9398,-0.008562,-8.5618
13.741678,-89.071924,1.762,-0.007777,-7.7773
13.741684,-89.071185,1.7338,-0.007653,-7.6526
13.74169,-89.070445,1.7638,-0.007785,-7.7853
13.741696,-89.069706,1.6535,-0.007298,-7.2983
13.741702,-89.068966,1.8701,-0.008254,-8.2543
13.741709,-89.068227,1.6923,-0.007469,-7.4693
13.741715,-89.067487,1.7271,-0.007623,-7.623
13.741721,-89.066748,1.7726,-0.007824,-7.8238
13.741727,-89.066008,1.7726,-0.007824,-7.8238
13.741733,-89.065269,1.7041,-0.007522,-7.5216
13.74174,-89.064529,1.7755,-0.007837,-7.8366
13.741746,-89.06379,1.8564,-0.008194,-8.1939
13.741752,-89.06305,1.8745,-0.008274,-8.2737
13.741758,-89.062311,1.7917,-0.007908,-7.9083
13.741764,-89.061571,1.7608,-0.007772,-7.772
13.741771,-89.060832,1.7035,-0.007519,-7.5188
