Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1506360.0,340600.0,0.1685,299.97,57.89
1506360.0,341720.0,0.0899,299.96,57.54
1506360.0,342840.0,0.0581,299.95,57.26
1506360.0,343960.0,0.1494,299.94,57.07
1506360.0,345080.0,0.0712,299.94,56.98
1506360.0,346200.0,0.1781,299.94,57.0
1506360.0,347320.0,0.1121,299.94,57.15
1506360.0,348440.0,0.177,299.96,57.43
1506360.0,349560.0,0.0704,299.97,57.82
1506360.0,350680.0,0.1284,299.99,58.3
1506360.0,351800.0,0.1601,300.02,58.86
1506360.0,352920.0,0.0548,300.04,59.53
1506360.0,354040.0,0.2174,300.08,60.3
1506360.0,355160.0,0.1023,300.11,61.2
1506360.0,356280.0,0.1237,300.16,62.23
1506360.0,357400.0,0.1561,300.21,63.41
1506360.0,358520.0,0.1559,300.26,64.74
1506360.0,359640.0,0.1818,300.33,66.26
1506360.0,360760.0,0.0933,300.41,68.3
1506360.0,361880.0,0.1636,300.52,70.83
1506360.0,363000.0,0.1119,300.64,73.67
1506360.0,364120.0,0.3066,300.76,76.63
1506360.0,365240.0,0.2464,300.88,79.55
1506360.0,366360.0,0.0761,301.0,82.24
1506360.0,367480.0,0.1368,301.09,84.53
1506360.0,368600.0,0.1613,301.16,86.23
1506360.0,369720.0,0.0634,301.2,87.17
1506360.0,370840.0,0.1166,301.2,87.18
1506360.0,371960.0,0.1551,301.16,86.28
1506360.0,373080.0,0.2253,301.1,84.64
1506360.0,374200.0,0.1515,301.0,82.46
1506360.0,375320.0,0.1026,300.9,79.94
1506360.0,376440.0,0.2417,300.79,77.25
1505240.0,304760.0,0.2766,297.67,2.88
1505240.0,305880.0,0.0898,297.78,5.37
1505240.0,307000.0,0.0673,297.9,8.31
1505240.0,308120.0,0.1386,298.04,11.63
1505240.0,309240.0,0.1105,298.19,15.23
1505240.0,310360.0,0.0591,298.35,19.04
1505240.0,311480.0,0.1725,298.51,22.94
1505240.0,312600.0,0.1184,298.67,26.84
1505240.0,313720.0,0.1297,298.83,30.66
1505240.0,314840.0,0.0826,298.99,34.29
1505240.0,315960.0,0.2181,299.13,37.64
1505240.0,317080.0,0.2683,299.26,40.89
1505240.0,318200.0,0.0894,299.41,44.3
